Date,Open,High,Low,Close,Adj Close,Volume
21/06/2000,7300,7380,7070,7080,5133.235352,37585000
22/06/2000,7240,7270,6960,7040,5104.23291,33635000
23/06/2000,6980,7010,6860,7000,5075.231934,29215000
26/06/2000,7100,7360,6990,7210,5227.48877,39980000
27/06/2000,7320,7440,7190,7310,5299.990723,45535000
28/06/2000,7220,7540,7220,7520,5452.249023,47295000
29/06/2000,7600,7740,7380,7490,5430.496094,61120000
30/06/2000,7440,7540,7290,7380,5350.743164,35250000
03/07/2000,7440,7550,7420,7500,5437.746582,25975000
04/07/2000,7600,7620,7350,7350,5328.992676,32810000
05/07/2000,7390,7520,7350,7430,5386.995605,24895000
06/07/2000,7240,7350,7180,7300,5292.742188,60340000
07/07/2000,7340,7460,7230,7360,5336.243652,40580000
10/07/2000,7440,7630,7410,7600,5510.251465,42505000
11/07/2000,7580,7740,7450,7450,5401.496582,34945000
12/07/2000,7520,7660,7460,7640,5539.251953,40140000
13/07/2000,7700,7880,7570,7760,5626.254883,48805000
14/07/2000,7780,7840,7540,7550,5473.999512,30425000
17/07/2000,7550,7550,7550,7550,5473.999512,0
18/07/2000,7550,7620,7440,7460,5408.746094,19605000
19/07/2000,7550,7620,7440,7460,5408.746094,19605000
20/07/2000,7060,7110,6840,6900,5002.729004,40315000
21/07/2000,6960,7050,6760,6920,5017.229004,48395000
24/07/2000,6640,6740,6360,6380,4625.712402,49015000
25/07/2000,6310,6400,6120,6280,4553.206055,56735000
26/07/2000,6400,6580,6360,6550,4748.966309,54745000
27/07/2000,6220,6360,6100,6230,4516.955566,43540000
28/07/2000,5800,5910,5710,5730,4154.439941,83035000
31/07/2000,5730,5910,5550,5900,4277.695801,46615000
01/08/2000,5960,6270,5870,6220,4509.706055,53120000
02/08/2000,6100,6170,5930,6070,4400.950195,37190000
03/08/2000,6180,6180,5970,6030,4371.950195,27815000
04/08/2000,5930,6010,5850,5920,4292.194824,23605000
07/08/2000,5740,5770,5580,5580,4045.685059,28765000
08/08/2000,5660,5750,5570,5580,4045.685059,33475000
09/08/2000,5680,6040,5680,6000,4350.19873,39570000
10/08/2000,6000,6160,5860,6160,4466.203125,40830000
11/08/2000,6000,6070,5880,5960,4321.195801,33840000
14/08/2000,6060,6160,6000,6020,4364.699219,23730000
15/08/2000,6020,6020,6020,6020,4364.699219,0
16/08/2000,6500,6530,6330,6420,4654.714844,51915000
17/08/2000,6480,6560,6340,6440,4669.212891,36345000
18/08/2000,6500,6520,6200,6200,4495.205566,21370000
21/08/2000,6200,6340,6190,6270,4545.957031,20950000
22/08/2000,6260,6470,6240,6460,4683.714355,27710000
23/08/2000,6450,6450,6160,6190,4487.953613,27905000
24/08/2000,6260,6300,6100,6220,4509.706055,31700000
25/08/2000,6180,6400,6110,6400,4640.210938,21960000
28/08/2000,6340,6380,6260,6330,4589.458984,17630000
29/08/2000,6320,6380,6160,6220,4509.706055,16765000
30/08/2000,6140,6190,6020,6030,4371.950195,23735000
31/08/2000,5900,5900,5380,5470,3965.930176,114120000
01/09/2000,5540,5600,5420,5540,4016.682617,49955000
04/09/2000,5440,5550,5310,5340,3871.676758,28625000
05/09/2000,5260,5340,5030,5150,3733.920654,79765000
06/09/2000,5200,5280,5090,5150,3733.920654,53120000
07/09/2000,4940,4980,4760,4790,3472.908447,83905000
08/09/2000,4900,4930,4790,4880,3538.160889,57170000
11/09/2000,4880,4880,4880,4880,3538.160889,0
12/09/2000,4880,4880,4880,4880,3538.160889,0
13/09/2000,4880,4880,4880,4880,3538.160889,0
14/09/2000,4600,4710,4440,4710,3414.904785,106130000
15/09/2000,4500,4620,4300,4350,3153.894287,82695000
18/09/2000,4010,4120,3700,3970,2878.381592,146305000
19/09/2000,3990,4370,3900,4160,3016.138184,100525000
20/09/2000,4600,4660,4460,4600,3335.1521,103410000
21/09/2000,4590,4660,4320,4400,3190.145508,65445000
22/09/2000,3840,4050,3780,3800,2755.125732,103265000
25/09/2000,3880,4110,3840,4090,2965.384277,65985000
26/09/2000,3900,4040,3900,4000,2900.13208,58430000
27/09/2000,4000,4100,3960,4030,2921.882568,69795000
28/09/2000,4100,4190,4030,4060,2943.634766,52470000
29/09/2000,4120,4120,3940,4040,2929.134277,57535000
02/10/2000,3840,3880,3760,3810,2762.376465,41120000
03/10/2000,3810,3810,3810,3810,2762.376465,0
04/10/2000,3700,3950,3590,3890,2820.378418,82635000
05/10/2000,4020,4080,3940,3940,2856.630127,62745000
06/10/2000,3800,3900,3760,3900,2827.62915,54935000
09/10/2000,3820,3840,3680,3690,2675.371582,63195000
10/10/2000,3700,3810,3590,3660,2653.621094,62145000
11/10/2000,3450,3460,3210,3220,2334.606445,103605000
12/10/2000,3140,3280,3140,3140,2276.603027,79535000
13/10/2000,3000,3090,2830,3030,2196.850098,115295000
16/10/2000,3030,3030,3030,3030,2196.850098,0
17/10/2000,2980,3080,2730,2740,1986.591553,65300000
18/10/2000,2540,2760,2420,2730,1979.339478,164215000
19/10/2000,2730,3050,2690,2900,2102.596191,137720000
20/10/2000,3240,3330,3190,3330,2414.360596,118825000
23/10/2000,3490,3520,3160,3200,2320.105469,139960000
24/10/2000,3180,3420,3100,3340,2421.611572,97115000
25/10/2000,3200,3260,3130,3210,2327.357422,68730000
26/10/2000,2930,3030,2740,2890,2095.344971,133290000
27/10/2000,2890,2890,2890,2890,2095.344971,0
30/10/2000,2800,2880,2720,2750,1993.841187,36830000
31/10/2000,2750,2850,2630,2850,2066.344482,63190000
01/11/2000,3000,3270,2960,3260,2363.608643,94165000
02/11/2000,3200,3430,3170,3320,2407.109863,123180000
03/11/2000,3420,3470,3370,3440,2494.113281,80420000
06/11/2000,3460,3670,3380,3510,2544.866211,71865000
07/11/2000,3460,3550,3380,3440,2494.113281,53740000
08/11/2000,3400,3460,3280,3410,2472.362549,58215000
09/11/2000,3300,3430,3260,3400,2465.112061,52305000
10/11/2000,3360,3440,3320,3380,2450.611084,35140000
13/11/2000,3220,3260,3100,3150,2283.85376,51070000
14/11/2000,3210,3320,3210,3290,2385.357666,31755000
15/11/2000,3450,3460,3320,3390,2457.861328,55720000
16/11/2000,3400,3420,3250,3280,2378.108643,37420000
17/11/2000,3180,3230,3150,3220,2334.606445,36225000
20/11/2000,3160,3210,3100,3100,2247.602783,26795000
21/11/2000,3080,3170,2970,3160,2291.104492,51620000
22/11/2000,3100,3220,3080,3140,2276.603027,37710000
23/11/2000,3140,3260,3140,3210,2327.357422,44645000
24/11/2000,3310,3400,3270,3400,2465.112061,45530000
27/11/2000,3600,3800,3570,3780,2740.624756,100220000
28/11/2000,3650,3650,3500,3520,2552.116455,59770000
29/11/2000,3300,3350,3200,3220,2334.606445,54300000
30/11/2000,3220,3290,3150,3240,2349.107422,63315000
01/12/2000,3080,3220,3040,3180,2305.604736,96425000
04/12/2000,3220,3250,3080,3100,2247.602783,51875000
05/12/2000,3160,3250,3120,3240,2349.107422,58400000
06/12/2000,3410,3430,3210,3210,2327.357422,95890000
07/12/2000,3210,3260,3160,3260,2363.608643,43020000
08/12/2000,3260,3390,3260,3370,2443.361572,47575000
11/12/2000,3480,3630,3480,3580,2595.618164,70575000
12/12/2000,3580,3650,3500,3500,2537.615967,73745000
13/12/2000,3500,3780,3500,3780,2740.624756,84140000
14/12/2000,3620,3680,3560,3620,2624.619873,66965000
15/12/2000,3620,3640,3480,3490,2530.365723,52960000
18/12/2000,3500,3590,3490,3560,2581.117188,34350000
19/12/2000,3560,3570,3510,3530,2559.366455,25445000
20/12/2000,3420,3450,3320,3340,2421.611572,53675000
21/12/2000,3120,3300,3070,3240,2349.107422,76625000
22/12/2000,3240,3300,3130,3140,2276.603027,63760000
25/12/2000,3140,3140,3140,3140,2276.603027,0
26/12/2000,3230,3240,3160,3160,2291.104492,60430000
27/12/2000,3160,3160,3160,3160,2291.104492,0
28/12/2000,3160,3160,3160,3160,2291.104492,0
29/12/2000,3160,3160,3160,3160,2291.104492,0
01/01/2001,3160,3160,3160,3160,2291.104492,0
02/01/2001,3160,3380,3140,3350,2428.861084,39455000
03/01/2001,3230,3420,3220,3370,2443.361572,37855000
04/01/2001,3790,3870,3660,3780,2740.624756,119910000
05/01/2001,3760,3920,3700,3900,2827.62915,78135000
08/01/2001,3820,3910,3780,3880,2813.127441,42295000
09/01/2001,3830,3860,3710,3840,2784.126953,46280000
10/01/2001,3780,3810,3700,3710,2689.872314,41235000
11/01/2001,3790,3790,3640,3640,2639.120361,31410000
12/01/2001,3800,3890,3770,3840,2784.126953,52900000
15/01/2001,3860,4020,3840,3920,2842.12915,51460000
16/01/2001,3960,4200,3850,4140,3001.636719,52065000
17/01/2001,4060,4240,4060,4220,3059.639404,52570000
18/01/2001,4240,4530,4240,4400,3190.145508,57685000
19/01/2001,4700,4700,4520,4600,3335.1521,54245000
22/01/2001,4600,4600,4470,4550,3298.901611,42250000
23/01/2001,4550,4550,4550,4550,3298.901611,0
24/01/2001,4550,4550,4550,4550,3298.901611,0
25/01/2001,4550,4550,4550,4550,3298.901611,0
26/01/2001,4450,4480,3970,3980,2885.631592,91025000
29/01/2001,4000,4100,3960,4020,2914.632813,47245000
30/01/2001,4100,4170,4070,4110,2979.88623,39350000
31/01/2001,4090,4400,4090,4400,3190.145508,53045000
01/02/2001,4270,4420,4190,4270,3095.891357,39730000
02/02/2001,4290,4390,4220,4290,3110.39209,27330000
05/02/2001,4170,4200,3990,4030,2921.882568,47135000
06/02/2001,3980,4020,3910,4010,2907.38208,31545000
07/02/2001,3960,3990,3900,3900,2827.62915,23130000
08/02/2001,3920,4060,3890,4060,2943.634766,34685000
09/02/2001,4040,4100,3980,4070,2950.884521,25230000
12/02/2001,3840,4050,3840,3970,2878.381592,36110000
13/02/2001,4040,4100,3970,3980,2885.631592,22295000
14/02/2001,3920,4040,3900,3980,2885.631592,19710000
15/02/2001,4200,4210,4100,4130,2994.387451,34930000
16/02/2001,4150,4310,4130,4250,3081.390137,46375000
19/02/2001,4180,4210,4100,4190,3037.888916,22880000
20/02/2001,4190,4280,4180,4240,3074.140137,18175000
21/02/2001,4160,4200,4140,4160,3016.138184,19500000
22/02/2001,4080,4100,3940,4010,2907.38208,43605000
23/02/2001,3920,3970,3830,3840,2784.126953,76855000
26/02/2001,3850,3860,3780,3840,2784.126953,35665000
27/02/2001,3840,3940,3790,3790,2747.874756,38695000
28/02/2001,3700,3780,3700,3740,2711.624268,28715000
01/03/2001,3740,3740,3740,3740,2711.624268,0
02/03/2001,3700,3700,3580,3610,2617.369141,44500000
05/03/2001,3530,3720,3530,3720,2697.123535,24620000
06/03/2001,3820,3850,3760,3800,2755.125732,25500000
07/03/2001,3960,4010,3900,4000,2900.13208,52640000
08/03/2001,3950,4010,3910,4010,2907.38208,31360000
09/03/2001,3940,3940,3820,3840,2784.126953,30800000
12/03/2001,3700,3760,3650,3670,2660.871094,38610000
13/03/2001,3570,3650,3540,3640,2639.120361,33815000
14/03/2001,3640,3640,3640,3640,2639.120361,0
15/03/2001,3790,3930,3760,3920,2842.12915,29370000
16/03/2001,3880,3920,3830,3890,2820.378418,23315000
19/03/2001,3810,3880,3770,3800,2755.125732,24865000
20/03/2001,3900,3920,3820,3820,2769.625977,21455000
21/03/2001,3720,3900,3700,3870,2805.877686,40550000
22/03/2001,3980,3990,3920,3980,2885.631592,37465000
23/03/2001,4090,4370,4080,4300,3117.642578,91755000
26/03/2001,4400,4430,4340,4340,3146.643555,42870000
27/03/2001,4300,4310,4120,4150,3008.887939,31345000
28/03/2001,4260,4260,4150,4150,3008.887939,26075000
29/03/2001,4090,4180,4040,4090,2965.384277,29920000
30/03/2001,4110,4170,4040,4160,3016.138184,30100000
02/04/2001,4040,4100,3960,3990,2892.88208,39140000
03/04/2001,3810,3870,3790,3800,2755.125732,46070000
04/04/2001,3700,3740,3630,3660,2653.621094,62280000
05/04/2001,3660,3660,3660,3660,2653.621094,0
06/04/2001,3960,3960,3780,3840,2784.126953,85290000
09/04/2001,3790,3810,3710,3710,2689.872314,25840000
10/04/2001,3710,3740,3610,3640,2639.120361,39175000
11/04/2001,3780,3800,3720,3720,2697.123535,44515000
12/04/2001,3940,4090,3900,4010,2907.38208,73660000
13/04/2001,4100,4150,4030,4060,2943.634766,38840000
16/04/2001,4060,4080,3940,3940,2856.630127,10200000
17/04/2001,3920,4020,3850,3970,2878.381592,16815000
18/04/2001,4110,4280,4070,4280,3103.141113,47790000
19/04/2001,4620,4920,4580,4700,3407.655273,131305000
20/04/2001,4720,4780,4490,4490,3255.398926,44905000
23/04/2001,4490,4610,4470,4540,3291.649414,31785000
24/04/2001,4410,4420,4330,4400,3190.145508,31185000
25/04/2001,4340,4520,4320,4520,3277.148926,26345000
26/04/2001,4340,4520,4320,4520,3277.148926,26345000
27/04/2001,4410,4450,4310,4340,3146.643555,21695000
30/04/2001,4460,4620,4410,4580,3320.651367,38225000
01/05/2001,4580,4580,4580,4580,3320.651367,0
02/05/2001,4700,4700,4540,4580,3320.651367,36510000
03/05/2001,4620,4620,4490,4600,3335.1521,25895000
04/05/2001,4410,4510,4410,4460,3233.647949,32805000
07/05/2001,4500,4630,4480,4600,3335.1521,17945000
08/05/2001,4590,4620,4520,4590,3327.902588,16825000
09/05/2001,4560,4580,4490,4500,3262.649658,20695000
10/05/2001,4500,4560,4440,4500,3262.649658,24620000
11/05/2001,4460,4470,4400,4410,3197.395996,27705000
14/05/2001,4420,4460,4400,4430,3211.895752,14310000
15/05/2001,4410,4450,4290,4340,3146.643555,26420000
16/05/2001,4300,4370,4200,4210,3052.388916,25895000
17/05/2001,4400,4430,4340,4430,3211.895752,24105000
18/05/2001,4380,4420,4340,4410,3197.395996,18915000
21/05/2001,4500,4620,4430,4580,3320.651367,28160000
22/05/2001,4720,4780,4620,4620,3349.6521,48830000
23/05/2001,4600,4760,4580,4700,3407.655273,21890000
24/05/2001,4560,4600,4510,4530,3284.399414,30275000
25/05/2001,4550,4650,4430,4440,3219.147705,33695000
28/05/2001,4420,4480,4380,4450,3226.396484,18480000
29/05/2001,4430,4640,4430,4640,3364.152832,24280000
30/05/2001,4500,4530,4450,4470,3240.897461,31815000
31/05/2001,4320,4340,4190,4240,3074.140137,63595000
01/06/2001,4300,4300,4210,4240,3074.140137,29315000
04/06/2001,4260,4310,4230,4240,3074.140137,19955000
05/06/2001,4140,4240,4040,4060,2943.634766,51520000
06/06/2001,4060,4060,4060,4060,2943.634766,0
07/06/2001,4080,4310,4080,4280,3103.141113,39865000
08/06/2001,4420,4510,4400,4470,3240.897461,42740000
11/06/2001,4330,4380,4280,4280,3103.141113,24680000
12/06/2001,4220,4300,4210,4220,3059.639404,24195000
13/06/2001,4300,4310,4200,4280,3103.141113,23645000
14/06/2001,4270,4310,4200,4230,3066.889893,27840000
15/06/2001,4190,4200,4120,4190,3037.888916,40870000
18/06/2001,4180,4180,4080,4100,2972.63501,34095000
19/06/2001,4100,4170,4080,4110,2979.88623,31275000
20/06/2001,4060,4070,3990,4000,2900.13208,38515000
21/06/2001,4000,4040,3920,3960,2871.130127,40805000
22/06/2001,3940,3940,3820,3870,2805.877686,44685000
25/06/2001,3840,3930,3800,3870,2805.877686,25925000
26/06/2001,3870,3900,3780,3780,2740.624756,33500000
27/06/2001,3790,3800,3700,3720,2697.123535,40985000
28/06/2001,3700,3790,3690,3750,2718.873291,27040000
29/06/2001,3840,3850,3800,3840,2784.126953,30675000
02/07/2001,3840,3880,3810,3860,2798.626709,23280000
03/07/2001,3900,3910,3870,3890,2820.378418,20305000
04/07/2001,3840,3940,3840,3940,2856.630127,13705000
05/07/2001,3940,3950,3860,3860,2798.626709,15550000
06/07/2001,3740,3770,3650,3670,2660.871094,38020000
09/07/2001,3500,3540,3390,3420,2479.613281,81635000
10/07/2001,3440,3490,3390,3400,2465.112061,32665000
11/07/2001,3280,3410,3280,3380,2450.611084,37970000
12/07/2001,3480,3560,3460,3520,2552.116455,66365000
13/07/2001,3640,3640,3360,3400,2465.112061,46560000
16/07/2001,3370,3390,3260,3340,2421.611572,27910000
17/07/2001,3340,3340,3340,3340,2421.611572,0
18/07/2001,3360,3420,3330,3350,2428.861084,33430000
19/07/2001,3330,3540,3310,3540,2566.617676,37325000
20/07/2001,3520,3600,3470,3520,2552.116455,29625000
23/07/2001,3500,3500,3430,3460,2508.614502,21275000
24/07/2001,3400,3510,3400,3470,2515.865234,21480000
25/07/2001,3460,3590,3440,3570,2588.36792,20905000
26/07/2001,3590,3650,3590,3630,2631.869629,21865000
27/07/2001,3730,3790,3690,3710,2689.872314,28800000
30/07/2001,3760,3780,3690,3710,2689.872314,20055000
31/07/2001,3740,3810,3720,3790,2747.874756,22230000
01/08/2001,3830,3990,3810,3960,2871.130127,57875000
02/08/2001,4020,4040,3880,3910,2834.87915,31790000
03/08/2001,4000,4020,3950,3990,2892.88208,32795000
06/08/2001,3930,4000,3900,3980,2885.631592,16130000
07/08/2001,3880,3900,3810,3860,2798.626709,22085000
08/08/2001,3820,3840,3740,3800,2755.125732,13405000
09/08/2001,3690,3730,3660,3660,2653.621094,29170000
10/08/2001,3710,3780,3710,3730,2704.373047,11580000
13/08/2001,3770,3830,3750,3830,2776.877441,18640000
14/08/2001,3900,3960,3870,3950,2863.881348,21220000
15/08/2001,3950,3950,3950,3950,2863.881348,0
16/08/2001,3840,3900,3820,3900,2827.62915,18330000
17/08/2001,3900,3960,3870,3920,2842.12915,17745000
20/08/2001,3800,3830,3780,3800,2755.125732,9435000
21/08/2001,3820,3850,3700,3720,2697.123535,21735000
22/08/2001,3630,3850,3630,3850,2791.377197,21770000
23/08/2001,3870,3910,3800,3850,2791.377197,14945000
24/08/2001,3840,3880,3780,3840,2784.126953,7515000
27/08/2001,3960,4020,3920,3980,2885.631592,37955000
28/08/2001,4000,4000,3930,3940,2856.630127,20535000
29/08/2001,3900,3970,3860,3930,2849.379395,19135000
30/08/2001,3840,3940,3840,3920,2842.12915,12585000
31/08/2001,3860,3880,3750,3800,2755.125732,25845000
03/09/2001,3810,3820,3750,3760,2726.124512,10450000
04/09/2001,3760,3940,3750,3930,2849.379395,18775000
05/09/2001,3840,3850,3750,3790,2747.874756,21020000
06/09/2001,3800,3850,3760,3770,2733.374268,17490000
07/09/2001,3760,3820,3690,3820,2769.625977,22835000
10/09/2001,3770,3830,3730,3830,2776.877441,14000000
11/09/2001,3800,3850,3720,3740,2711.624268,15810000
12/09/2001,3200,3460,3200,3230,2341.857178,84970000
13/09/2001,3360,3460,3320,3430,2486.86377,59745000
14/09/2001,3440,3450,3290,3390,2457.861328,33175000
17/09/2001,3300,3360,3240,3280,2378.108643,28450000
18/09/2001,3390,3400,3300,3350,2428.861084,24870000
19/09/2001,3300,3340,3260,3280,2378.108643,21555000
20/09/2001,3200,3200,3030,3080,2233.101563,61380000
21/09/2001,2900,2940,2790,2850,2066.344482,65415000
24/09/2001,2850,2850,2850,2850,2066.344482,0
25/09/2001,3060,3070,2860,2860,2073.593994,42065000
26/09/2001,2820,2870,2790,2830,2051.843018,33275000
27/09/2001,2760,2810,2680,2810,2037.343506,36500000
28/09/2001,2810,2810,2810,2810,2037.343506,0
01/10/2001,2810,2810,2810,2810,2037.343506,0
02/10/2001,2810,2810,2810,2810,2037.343506,0
03/10/2001,2810,2810,2810,2810,2037.343506,0
04/10/2001,3000,3000,2860,2910,2109.846436,64925000
05/10/2001,2920,2970,2870,2950,2138.8479,40035000
08/10/2001,2940,2960,2890,2920,2117.096436,19935000
09/10/2001,2960,3060,2960,3030,2196.850098,39630000
10/10/2001,2990,3010,2960,2980,2160.5979,16855000
11/10/2001,3080,3200,3070,3180,2305.604736,58170000
12/10/2001,3320,3340,3250,3260,2363.608643,47265000
15/10/2001,3200,3240,3180,3200,2320.105469,17425000
16/10/2001,3160,3230,3160,3180,2305.604736,15620000
17/10/2001,3260,3300,3230,3280,2378.108643,28595000
18/10/2001,3230,3260,3170,3260,2363.608643,21850000
19/10/2001,3300,3410,3260,3400,2465.112061,41555000
22/10/2001,3460,3470,3330,3390,2457.861328,18730000
23/10/2001,3500,3530,3450,3480,2523.114014,39580000
24/10/2001,3560,3710,3550,3710,2689.872314,56115000
25/10/2001,3700,3700,3620,3660,2653.621094,27610000
26/10/2001,3660,3690,3580,3620,2624.619873,47820000
29/10/2001,3660,3700,3610,3680,2668.121826,25480000
30/10/2001,3540,3580,3470,3480,2523.114014,33825000
31/10/2001,3410,3480,3410,3470,2515.865234,28980000
01/11/2001,3540,3630,3480,3580,2595.618164,34295000
02/11/2001,3630,3670,3630,3660,2653.621094,37920000
05/11/2001,3670,3700,3620,3700,2682.622559,30180000
06/11/2001,3780,3830,3760,3800,2755.125732,53010000
07/11/2001,3820,3830,3770,3810,2762.376465,44265000
08/11/2001,3810,3870,3800,3860,2798.626709,37600000
